"Record.number","Abstract","Author","swipe"
"Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data","<b>Objectives</b> To assess the overall effect of vitamin D supplementation on risk of acute respiratory tract infection, and to identify factors modifying this effect.<b>Design</b> Systematic review and meta-analysis of individual participant data (IPD) from randomised controlled trials.<b>Data sources</b> Medline, Embase, the Cochrane Central Register of Controlled Trials, Web of Science, ClinicalTrials.gov, and the International Standard Randomised Controlled Trials Number registry from inception to December 2015.<b>Eligibility criteria for study selection</b> Randomised, double blind, placebo controlled trials of supplementation with vitamin D<sub>3</sub> or vitamin D<sub>2</sub> of any duration were eligible for inclusion if they had been approved by a research ethics committee and if data on incidence of acute respiratory tract infection were collected prospectively and prespecified as an efficacy outcome.<b>Results</b> 25 eligible randomised controlled trials (total 11 321 participants, aged 0 to 95 years) were identified. IPD were obtained for 10 933 (96.6%) participants. Vitamin D supplementation reduced the risk of acute respiratory tract infection among all participants (adjusted odds ratio 0.88, 95% confidence interval 0.81 to 0.96; P for heterogeneity &lt;0.001). In subgroup analysis, protective effects were seen in those receiving daily or weekly vitamin D without additional bolus doses (adjusted odds ratio 0.81, 0.72 to 0.91) but not in those receiving one or more bolus doses (adjusted odds ratio 0.97, 0.86 to 1.10; P for interaction=0.05). Among those receiving daily or weekly vitamin D, protective effects were stronger in those with baseline 25-hydroxyvitamin D levels &lt;25 nmol/L (adjusted odds ratio 0.30, 0.17 to 0.53) than in those with baseline 25-hydroxyvitamin D levels ≥25 nmol/L (adjusted odds ratio 0.75, 0.60 to 0.95; P for interaction=0.006). Vitamin D did not influence the proportion of participants experiencing at least one serious adverse event (adjusted odds ratio 0.98, 0.80 to 1.20, P=0.83). The body of evidence contributing to these analyses was assessed as being of high quality.<b>Conclusions</b> Vitamin D supplementation was safe and it protected against acute respiratory tract infection overall. Patients who were very vitamin D deficient and those not receiving bolus doses experienced the most benefit.<b>Systematic review registration</b> PROSPERO CRD42014013953.","Martineau AR, Jolliffe DA, Hooper RL, Greenberg L, Aloia JF, Bergman P, Dubnov-Raz G, Esposito S, Ganmaa D, Ginde AA, Goodall EC, Grant CC, Griffiths CJ, Janssens W, Laaksi I, Manaseki-Holland S, Mauger D, Murdoch DR, Neale R, Rees JR, Simpson S Jr, Stelmach I, Kumar GT, Urashima M, Camargo CA Jr.","right"
"Endovascular thrombectomy after large-vessel ischaemic stroke: a meta-analysis of individual patient data from five randomised trials","In 2015, five randomised trials showed efficacy of endovascular thrombectomy over standard medical care in patients with acute ischaemic stroke caused by occlusion of arteries of the proximal anterior circulation. In this meta-analysis we, the trial investigators, aimed to pool individual patient data from these trials to address remaining questions about whether the therapy is efficacious across the diverse populations included. We formed the HERMES collaboration to pool patient-level data from five trials (MR CLEAN, ESCAPE, REVASCAT, SWIFT PRIME, and EXTEND IA) done between December, 2010, and December, 2014. In these trials, patients with acute ischaemic stroke caused by occlusion of the proximal anterior artery circulation were randomly assigned to receive either endovascular thrombectomy within 12 h of symptom onset or standard care (control), with a primary outcome of reduced disability on the modified Rankin Scale (mRS) at 90 days. By direct access to the study databases, we extracted individual patient data that we used to assess the primary outcome of reduced disability on mRS at 90 days in the pooled population and examine heterogeneity of this treatment effect across prespecified subgroups. To account for between-trial variance we used mixed-effects modelling with random effects for parameters of interest. We then used mixed-effects ordinal logistic regression models to calculate common odds ratios (cOR) for the primary outcome in the whole population (shift analysis) and in subgroups after adjustment for age, sex, baseline stroke severity (National Institutes of Health Stroke Scale score), site of occlusion (internal carotid artery vs M1 segment of middle cerebral artery vs M2 segment of middle cerebral artery), intravenous alteplase (yes vs no), baseline Alberta Stroke Program Early CT score, and time from stroke onset to randomisation. We analysed individual data for 1287 patients (634 assigned to endovascular thrombectomy, 653 assigned to control). Endovascular thrombectomy led to significantly reduced disability at 90 days compared with control (adjusted cOR 2.49, 95% CI 1.76-3.53; p&lt;0.0001). The number needed to treat with endovascular thrombectomy to reduce disability by at least one level on mRS for one patient was 2.6. Subgroup analysis of the primary endpoint showed no heterogeneity of treatment effect across prespecified subgroups for reduced disability (pinteraction=0.43). Effect sizes favouring endovascular thrombectomy over control were present in several strata of special interest, including in patients aged 80 years or older (cOR 3.68, 95% CI 1.95-6.92), those randomised more than 300 min after symptom onset (1.76, 1.05-2.97), and those not eligible for intravenous alteplase (2.43, 1.30-4.55). Mortality at 90 days and risk of parenchymal haematoma and symptomatic intracranial haemorrhage did not differ between populations. Endovascular thrombectomy is of benefit to most patients with acute ischaemic stroke caused by occlusion of the proximal anterior circulation, irrespective of patient characteristics or geographical location. These findings will have global implications on structuring systems of care to provide timely treatment to patients with acute ischaemic stroke due to large vessel occlusion. Medtronic.","Goyal M, Menon BK, van Zwam WH, Dippel DW, Mitchell PJ, Demchuk AM, D�valos A, Majoie CB, van der Lugt A, de Miquel MA, Donnan GA, Roos YB, Bonafe A, Jahan R, Diener HC, van den Berg LA, Levy EI, Berkhemer OA, Pereira VM, Rempel J, Mill�n M, Davis SM, Roy D, Thornton J, Rom�n LS, Rib� M, Beumer D, Stouch B, Brown S, Campbell BC, van Oostenbrugge RJ, Saver JL, Hill MD, Jovin TG; HERMES collaborators.","right"
